文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
balm-fabric-1.21.11-21.11.6.jar,Balm,21.11.6,2026/1/16 18:31:58,balm,MBAkmtvl,861882,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\balm-fabric-1.21.11-21.11.6.jar
bobby-5.2.11+mc1.21.11.jar,服务器区块缓存 (Bobby),5.2.11+mc1.21.11,2025/12/10 19:44:29,bobby,M08ruV16,871882,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\bobby-5.2.11+mc1.21.11.jar
camerautils-fabric-1.21.11-1.1.2.jar,Camera Utils,1.21.11-1.1.2,2025/12/10 0:38:54,camerautils,rrwQMaWQ,400237,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\camerautils-fabric-1.21.11-1.1.2.jar
carpet-tis-addition-v1.75.1-mc1.21.11.jar,Carpet TIS Addition,1.75.1,2026/1/24 3:22:19,carpet-tis-addition,jE0SjGuf,1760824,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\carpet-tis-addition-v1.75.1-mc1.21.11.jar
caxton-0.9.0-alpha.2+1.21.11-FABRIC.jar,Caxton,0.9.0-alpha.2+1.21.11-FABRIC,2026/1/24 8:56:52,caxton,k8iIgzXE,6392195,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\caxton-0.9.0-alpha.2+1.21.11-FABRIC.jar
cicada-lib-0.14.3+1.21.9-1.21.10.jar,CICADA,0.14.3+1.21.9-1.21.10,2025/10/3 21:36:10,cicada,IwCkru1D,381672,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\cicada-lib-0.14.3+1.21.9-1.21.10.jar
cloth-config-21.11.153-fabric.jar,Cloth Config API,21.11.153,2025/12/21 21:12:08,cloth-config,9s6osm5g,1148427,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\cloth-config-21.11.153-fabric.jar
collective-1.21.11-8.13.jar,Collective,8.13,2025/12/11 5:05:39,collective,e0M1UDsY,963324,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\collective-1.21.11-8.13.jar
CreativeCore_FABRIC_v2.14.9_mc1.21.11.jar,CreativeCore,2.14.9,2025/12/12 2:10:19,creativecore,OsZiaDHq,1388750,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\CreativeCore_FABRIC_v2.14.9_mc1.21.11.jar
debugify-1.21.11+1.0.jar,Debugify,1.21.11+1.0,2026/1/13 3:47:05,debugify,QwxR6Gcd,376651,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\debugify-1.21.11+1.0.jar
do_a_barrel_roll-fabric-3.8.3+1.21.11.jar,Do a Barrel Roll,3.8.3,2025/12/17 3:53:43,do_a_barrel_roll,6FtRfnLg,485426,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\do_a_barrel_roll-fabric-3.8.3+1.21.11.jar
EuphoriaPatcher-1.8.4-r5.7.1-fabric.jar,Euphoria Patches,1.8.4-r5.7.1-fabric,2026/2/6 17:31:04,euphoria_patcher,4H6sumDB,2440535,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\EuphoriaPatcher-1.8.4-r5.7.1-fabric.jar
fabric-api-0.141.3+1.21.11.jar,Fabric API,0.141.3+1.21.11,2026/2/3 17:28:26,fabric-api,P7dR8mSH,2412693,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\fabric-api-0.141.3+1.21.11.jar
fabric-language-kotlin-1.13.9+kotlin.2.3.10.jar,Fabric Language Kotlin,1.13.9+kotlin.2.3.10,2026/2/6 17:24:24,fabric-language-kotlin,Ha28R6CL,7642216,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\fabric-language-kotlin-1.13.9+kotlin.2.3.10.jar
fancymenu_fabric_3.8.4_MC_1.21.11.jar,FancyMenu,3.8.4,2026/2/1 23:14:08,fancymenu,Wq5SjeWM,4490883,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\fancymenu_fabric_3.8.4_MC_1.21.11.jar
fast-ip-ping-v1.0.8-mc1.21.11-fabric.jar,Fast IP Ping,1.0.8,2025/12/11 3:52:25,fastipping,9mtu0sUO,10375,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\fast-ip-ping-v1.0.8-mc1.21.11-fabric.jar
fastquit-3.1.3+mc1.21.11.jar,快速退出 (FastQuit),3.1.3+mc1.21.11,2026/1/20 8:00:10,fastquit,x1hIzbuY,61123,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\fastquit-3.1.3+mc1.21.11.jar
ForgeConfigAPIPort-v21.11.1-mc1.21.11-Fabric.jar,Forge Config API Port,21.11.1,2025/12/16 1:40:34,forgeconfigapiport,ohNO6lps,598009,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\ForgeConfigAPIPort-v21.11.1-mc1.21.11-Fabric.jar
framework-fabric-1.21.11-0.13.11.jar,,0.13.11,,framework,,1715042,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\framework-fabric-1.21.11-0.13.11.jar
GlitchCore-fabric-1.21.11-21.11.0.2.jar,,21.11.0.2,,glitchcore,,339787,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\GlitchCore-fabric-1.21.11-21.11.0.2.jar
ImmediatelyFast-Fabric-1.14.2+1.21.11.jar,ImmediatelyFast,1.14.2+1.21.11,2026/1/28 5:25:36,immediatelyfast,5ZwdcRci,310445,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\ImmediatelyFast-Fabric-1.14.2+1.21.11.jar
iris-fabric-1.10.5+mc1.21.11.jar,Iris Shaders,1.10.5+mc1.21.11,2026/1/26 0:06:12,iris,YL57xq9U,2798880,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\iris-fabric-1.10.5+mc1.21.11.jar
konkrete_fabric_1.9.18_MC_1.21.11.jar,Konkrete,1.9.18,2026/2/1 23:01:38,konkrete,J81TRJWm,771623,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\konkrete_fabric_1.9.18_MC_1.21.11.jar
LetMeDespawn-1.21.11-x-fabric-1.6.2.jar,Let Me Despawn,1.6.2,2026/1/20 23:03:44,letmedespawn,vE2FN5qn,17789,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\LetMeDespawn-1.21.11-x-fabric-1.6.2.jar
lithostitched-1.5.8+beta1-fabric-1.21.11.jar,Lithostitched,1.5.8+beta1,2026/1/31 5:09:52,lithostitched,XaDC71GB,588782,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\lithostitched-1.5.8+beta1-fabric-1.21.11.jar
malilib-fabric-1.21.11-0.27.5.jar,MaLiLib,0.27.5,2026/1/19 2:34:20,malilib,GcWjdA9I,1675542,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\malilib-fabric-1.21.11-0.27.5.jar
melody_fabric_1.0.15_MC_1.21.11.jar,Melody,1.0.15,2025/12/23 17:28:55,melody,CVT4pFB2,227886,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\melody_fabric_1.0.15_MC_1.21.11.jar
Mo-Glass-1.12-MC1.21.11.jar,Mo Glass,1.12-MC1.21.11,2025/12/10 0:19:49,mo_glass,SI5mk2b6,556997,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\Mo-Glass-1.12-MC1.21.11.jar
moreculling-fabric-1.21.11-1.6.1.jar,More Culling,1.6.1,2025/12/30 9:21:00,moreculling,51shyZVL,341925,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\moreculling-fabric-1.21.11-1.6.1.jar
mru-1.0.26+edge+1.21.11-fabric.jar,M.R.U,1.0.26+edge+1.21.10,2026/1/1 10:11:24,mru,SNVQ2c0g,94773,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\mru-1.0.26+edge+1.21.11-fabric.jar
PickUpNotifier-v21.11.0-mc1.21.11-Fabric.jar,拾取提示 (Pick Up Notifier),21.11.0,2025/12/16 6:53:30,pickupnotifier,ZX66K16c,75224,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\PickUpNotifier-v21.11.0-mc1.21.11-Fabric.jar
PuzzlesLib-v21.11.6-mc1.21.11-Fabric.jar,Puzzles Lib,21.11.6,2026/1/9 19:42:21,puzzleslib,QAGBst4M,1060802,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\PuzzlesLib-v21.11.6-mc1.21.11-Fabric.jar
refurbished_furniture-fabric-1.21.11-1.0.23.jar,,1.0.23,,refurbished_furniture,,7129857,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\refurbished_furniture-fabric-1.21.11-1.0.23.jar
ScalableLux-0.1.6+fabric.c25518a-all.jar,ScalableLux,0.1.6+fabric.c25518a,2025/9/26 22:30:12,scalablelux,Ps1zyz6x,182846,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\ScalableLux-0.1.6+fabric.c25518a-all.jar
sodium-extra-information-fabric-2.7.0.jar,Sodium Extra Information,2.7.0,2026/1/5 12:59:43,sodiumextrainformation,696WgnvT,63242,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\sodium-extra-information-fabric-2.7.0.jar
sodium-fullbright-1.1.0.jar,Sodium Fullbright,1.1.0,2025/12/10 11:15:36,sodium-fullbright,iVSjpXol,6623,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\sodium-fullbright-1.1.0.jar
substrate-4.1+1.21.11-fabric.jar,Substrate,4.1-Beta.4,2026/1/15 2:07:09,substrate,zNuzb72d,81374,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\substrate-4.1+1.21.11-fabric.jar
supermartijn642configlib-1.1.8-fabric-mc1.21.11.jar,SuperMartijn642's Config Lib,1.1.8,2025/12/25 19:47:50,supermartijn642configlib,LN9BxssP,205836,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\supermartijn642configlib-1.1.8-fabric-mc1.21.11.jar
tcdcommons-5.0.0-beta.5+fabric-1.21.11.jar,TCDCommons API,5.0.0-beta.5+fabric-1.21.11,2026/2/6 20:21:39,tcdcommons,Eldc1g37,413499,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\tcdcommons-5.0.0-beta.5+fabric-1.21.11.jar
tectonic-3.0.19-fabric-1.21.11.jar,Tectonic,3.0.19,2025/12/23 8:39:43,tectonic,lWDHr9jE,319699,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\tectonic-3.0.19-fabric-1.21.11.jar
TerraBlender-fabric-1.21.11-21.11.0.0.jar,,21.11.0.0,,terrablender,,341309,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\TerraBlender-fabric-1.21.11-21.11.0.0.jar
threatengl-fabric-2.0.4-release.10.jar,ThreatenGL,2.0.4-release.10,2025/11/3 5:32:30,threatengl,RSFrpoou,51960,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\threatengl-fabric-2.0.4-release.10.jar
undergroundbeacons-1.21.11-1.0.jar,Underground Beacons,1.0,2025/12/11 6:08:34,undergroundbeacons,SMC0xf5E,31954,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\undergroundbeacons-1.21.11-1.0.jar
vanilla-refresh-1.4.29.jar,Vanilla Refresh,1.4.29,2025/12/17 8:28:50,mr_vanilla_refresh,gWO6Zqey,1154896,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\vanilla-refresh-1.4.29.jar
visuality-0.7.12+1.21.11.jar,可视性 (Visuality),0.7.12+1.21.11,2025/12/13 22:02:04,visuality,rI0hvYcd,80429,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\visuality-0.7.12+1.21.11.jar
vmp-fabric-mc1.21.11-0.2.0+beta.7.226-all.jar,Very Many Players (Fabric),0.2.0+beta.7.226+1.21.11,2026/1/29 17:10:39,vmp,wnEe9KBa,416333,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\vmp-fabric-mc1.21.11-0.2.0+beta.7.226-all.jar
voxy-0.2.10-alpha.jar,voxy,0.2.10-alpha,2026/1/30 8:07:42,voxy,fxxUqruK,12612206,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\voxy-0.2.10-alpha.jar
yet_another_config_lib_v3-3.8.2+1.21.11-fabric.jar,YetAnotherConfigLib (YACL),3.8.2+1.21.11-fabric,2026/1/10 0:34:37,yet_another_config_lib_v3,1eAoo2KR,1126948,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\yet_another_config_lib_v3-3.8.2+1.21.11-fabric.jar
